Brand Name,Brand,Garment Type,Price Point,Made in USA,Vibe,Notes,URL Raw,URL
All American Clothing Company,All American Clothing Company,Underwear,$,All,Casual,,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB
All American Clothing Company,All American Clothing Company,Socks,$,All,Casual,,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB
All American Clothing Company,All American Clothing Company,Shoes,$$,All,Casual,,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB
All American Clothing Company,All American Clothing Company,Jackets/Outerwear,$,All,Casual,,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB
All American Clothing Company,All American Clothing Company,Belts,$,All,Casual,,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB
All American Clothing Company,All American Clothing Company,Hats,$,All,Casual,,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB
All American Clothing Company,All American Clothing Company,Khakis/Golf Pants,$,All,Casual,,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB
American Giant,American Giant,T-Shirts,$,All,Casual,,https://www.american-giant.com/,https://www.american-giant.com/
American Giant,American Giant,Sweatshirts,$$,All,Casual,,https://www.american-giant.com/,https://www.american-giant.com/
American Giant,American Giant,Sport Shirts,$$,All,Casual,,https://www.american-giant.com/,https://www.american-giant.com/
American Giant,American Giant,Jackets/Outerwear,$$,All,Casual,,https://www.american-giant.com/,https://www.american-giant.com/
American Giant,American Giant,Jeans/Denim,$$,All,Casual,,https://www.american-giant.com/,https://www.american-giant.com/
American Giant,American Giant,Athletic Wear,$$,All,Casual,,https://www.american-giant.com/,https://www.american-giant.com/
American Giant,American Giant,Hats,$,All,Casual,,https://www.american-giant.com/,https://www.american-giant.com/
American Giant,American Giant,Socks,$,All,Casual,,https://www.american-giant.com/,https://www.american-giant.com/
